City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,292.67,87,0,4.29,ZA,1676075530
1,hermanus,-34.4187,19.2345,293.6,79,0,4.28,ZA,1676075530
2,mataura,-46.1927,168.8643,292.86,39,24,1.49,NZ,1676075531
3,atuona,-9.8,-139.0333,299.17,77,11,6.5,PF,1676075532
4,linfen,36.0889,111.5189,276.54,75,100,1.13,CN,1676075424
5,kapaa,22.0752,-159.319,300.33,71,75,9.26,US,1676075533
6,vaini,-21.2,-175.2,302.24,84,75,4.63,TO,1676075533
7,bluff,-46.6,168.3333,293.04,65,40,4.83,NZ,1676075534
8,alofi,-19.0595,-169.9187,304.09,62,75,3.6,NU,1676075535
9,albany,42.6001,-73.9662,278.52,73,89,0.89,US,1676075366
10,busselton,-33.65,115.3333,292.87,49,0,4.29,AU,1676075536
11,dikson,73.5069,80.5464,258.41,94,100,5.19,RU,1676075536
12,fortuna,40.5982,-124.1573,282.4,88,100,1.79,US,1676075537
13,mahebourg,-20.4081,57.7,299.4,74,6,4.66,MU,1676075537
14,pevek,69.7008,170.3133,241.55,91,100,2.87,RU,1676075538
15,adrar,20.5022,-10.0711,293.56,21,99,6.17,MR,1676075255
16,nauta,-4.5061,-73.5757,296.47,97,30,0.75,PE,1676075539
17,qaanaaq,77.484,-69.3632,244.57,67,13,1.57,GL,1676075540
18,cherskiy,68.75,161.3,234.94,96,99,2.34,RU,1676075540
19,arraial do cabo,-22.9661,-42.0278,298.13,83,75,3.6,BR,1676075541
20,barrow,71.2906,-156.7887,251.16,84,100,9.77,US,1676075542
21,jamestown,42.097,-79.2353,274.92,88,100,5.66,US,1676075543
22,provideniya,64.3833,-173.3,247.21,88,100,3.14,RU,1676075543
23,saint-philippe,-21.3585,55.7679,297.92,81,0,3.25,RE,1676075544
24,cidreira,-30.1811,-50.2056,297.77,86,0,5.52,BR,1676075376
25,zhigansk,66.7697,123.3711,230.47,100,100,1.49,RU,1676075545
26,laguna,38.421,-121.4238,290.06,58,0,6.17,US,1676075392
27,basco,20.4487,121.9702,297.75,74,92,7.62,PH,1676075546
28,punta arenas,-53.15,-70.9167,285.21,54,0,10.29,CL,1676075546
29,georgetown,5.4112,100.3354,299.11,93,20,1.03,MY,1676075328
30,ushuaia,-54.8,-68.3,283.96,82,40,3.6,AR,1676075518
31,ngunguru,-35.6167,174.5,292.7,82,100,10.34,NZ,1676075548
32,ormara,25.2088,64.6357,293.75,38,0,5.87,PK,1676075548
33,cape town,-33.9258,18.4232,298.66,57,0,3.13,ZA,1676074996
34,pangody,65.85,74.4859,262.44,96,98,6.26,RU,1676075549
35,east london,-33.0153,27.9116,294.85,83,86,3.59,ZA,1676075551
36,hamilton,39.1834,-84.5333,277.09,78,75,3.09,US,1676075400
37,butaritari,3.0707,172.7902,300.42,78,56,9.7,KI,1676075552
38,aksarka,66.5606,67.7975,261.38,97,78,4.19,RU,1676075552
39,ancud,-41.8697,-73.8203,287.34,83,55,3.3,CL,1676075553
40,bethel,41.3712,-73.414,281.9,59,0,5.14,US,1676075554
41,lang son,21.8333,106.7333,293.44,97,100,1.62,VN,1676075554
42,puerto ayora,-0.7393,-90.3518,299.57,93,97,2.24,EC,1676075483
43,tasiilaq,65.6145,-37.6368,266.24,97,100,1.49,GL,1676075555
44,narsaq,60.9167,-46.05,267.27,97,65,1.88,GL,1676075555
45,meadow lake,34.8014,-106.5436,280.09,26,0,0.67,US,1676075420
46,norman wells,65.282,-126.8329,251.17,77,75,3.09,CA,1676075556
47,severo-kurilsk,50.6789,156.125,267.0,78,95,10.17,RU,1676075280
48,varadero,23.1536,-81.2514,298.57,76,81,8.66,CU,1676075502
49,pangnirtung,66.1451,-65.7125,235.03,93,89,1.29,CA,1676075557
50,gwadar,25.1216,62.3254,293.83,42,0,4.63,PK,1676075558
51,hithadhoo,-0.6,73.0833,300.56,66,15,4.66,MV,1676075558
52,maniitsoq,65.4167,-52.9,251.41,98,70,4.31,GL,1676075559
